id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960690576,,,lv8,0, , ,Android客户端,不喜欢邱莹莹的那种性格😉
960635564,一叶知秋cat,,lv16,0, , ,优酷PC客户端,胡歌，就差你了
960613315,一叶知秋cat,,lv16,0, , ,优酷PC客户端,邱。。。。。。。。。。。。。。。。。。演得挺好的
960544233,腾讯用户1470389536471716,,lv3,0, , ,Android Pad客户端,邱莹莹哭的让人烦到无法不吐槽她。
960537121,,,lv9,0, , ,优酷PC客户端,邱是猪吗
960488641,,,lv4,0, , ,Android客户端,看到邱莹莹先给她两耳光
960473631,,,lv12,0, , ,iPhone客户端,关关就像绿茶婊 还没爆发
960309558,赵楚韩,,lv37,0, , ,优酷iku,赵医生都无语了
960305321,,,lv5,0, , ,优酷PC客户端,讽刺心灵鸡汤
960279681,细细果9813,,lv11,0, , ,优酷PC客户端,nmnb
960219336,樱茶竹语梦の印记有69613796,,lv16,0, , ,优酷PC客户端,邱莹莹跟所有人都吵了一遍，真流弊
960217916,樱茶竹语梦の印记有69613796,,lv16,0, , ,优酷PC客户端,邱莹莹好烦，好讨厌她，一天到晚吵死了。
959946157,阳春晓寒,,lv15,0, , ,Android客户端,不知道为啥，第一次见到赵医生，总感觉他会是安迪失散多年的弟弟……
959909067,Sdjygsgs,,lv32,0, , ,Android客户端,不许傻瓜论短长
959798039,,,lv45,0, , ,优酷PC客户端,里面的女性都好喜欢啊
959704410,____65333736,,lv37,0, , ,优酷PC客户端,我也是
959704271,____65333736,,lv37,0, , ,优酷PC客户端,我一开始也觉得邱莹莹很神经后来没那么觉得了
959631115,大橘子皮儿家的球姐,,lv7,0, , ,优酷PC客户端,简直就不知道说什么好‘’‘
959627227,腾讯用户1467564583533494,,lv10,0, , ,Android客户端,邱莹莹太那样了，狗咬吕洞宾，不识好人心。
959623723,Cherish゜26506030,,lv4,0, , ,优酷iku,邱莹莹就是智障
959623088,Cherish゜26506030,,lv4,0, , ,优酷iku,对邱莹莹也是醉了
959471729,lyf不语,,lv35,0,1, ,优酷iku,樊姐姐真是个好姐姐~！！！！
959343789,,,lv31,0, , ,iPhone客户端,讨厌邱莹莹 有病 如果是我朋友 我才不会理她
959307927,腾讯用户1468327529597116,,lv4,0, , ,优酷,邱莹莹年多最佳智障奖得主！
959293491,腾讯用户1468732384698250,,lv1,0, , ,优酷,我爱曲筱销
959214627,zebra0227,,lv33,0, , ,优酷PC客户端,人各有志，再好的剧也有人不喜欢。偶喜欢这剧，很值得看
959210829,,,lv9,0, , ,优酷PC客户端,我的天啊，邱莹莹的性格也太让人接受不了
958996847,腾讯用户1470054063568235,,lv3,0, , ,iPad客户端,邱莹莹太烦，最讨厌邱莹莹了
958986269,19楼的小帅哥,,lv29,0, , ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
958950706,,,lv8,0, , ,优酷,这拍戏要导演编剧干嘛 叽里呱啦的那么多
958941398,ゝ小玛,,lv12,0, , ,优酷PC客户端,那是。。
958925375,支付宝用户1470044388474718,,lv2,0, , ,iPad客户端,弱智
958895640,,,lv44,0,1, ,优酷PC客户端,邱莹莹还老是把“我们是不是最好的朋友啊”挂在嘴边，她的个性让我好讨厌啊！！！
958893420,,,lv44,0, , ,优酷PC客户端,邱莹莹好无理取闹啊！！好讨厌啊！！！！！！
958838328,待你好37010279,,lv10,0, , ,Android客户端,不喜欢邱莹莹的性格与角色，在这个社会，适者生存，不适者淘汰，不要遇到事情就哭，哭解决不了任何事情，我们应该多听听他人给的见解，不要太过任性
958756909,-9435932602,,lv8,0,1,1,Android客户端,好怕变成邱莹莹
958730065,背後9,,lv19,0, , ,优酷PC客户端,曲筱绡这行为是违法吧
958696565,,,lv19,0,2, ,优酷iku,邱莹莹真的像个孩子
958557557,714586272,,lv23,0, , ,优酷PC客户端,看到邱莹莹就讨厌！
958404353,,,lv8,0,2, ,优酷,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNzc2MzI4.html"" target=""_blank"">王凯"
958403393,晨笺芳,,lv8,0,1, ,优酷PC客户端,一群人围着sb转干嘛 邱莹莹脑残
958350196,优酷用户1469338197850461,,lv5,0,1, ,iPad客户端,蒜你狠😂😂😂😂
958319917,土豆用户_387639490,,lv12,0, , ,Android客户端,我怎么觉得邱莹莹这个角色，好无理取闹啊！
958230395,,,lv26,0,1, ,iPhone客户端,太讨厌
958217200,,,lv44,0, , ,Android客户端,崴脚这一段是不是来自前段时间网上特别红的那个帅哥医生，
958037272,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,没有小曲的家世，盲目学她的性格无异于作死！
958036152,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,依我看邱莹莹的真情商的是硬伤
958034554,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,他们俩是认识很多年的朋友
958026217,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,我看两集就得玩一会游戏，要不真心看不下去啊！
958025500,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,那是被洗脑了
958025303,腾讯用户1469227371411313,,lv3,0, , ,优酷PC客户端,主要是邱莹莹太烦人了
957727821,,,lv19,0, , ,优酷PC客户端,天呐，你们是小学生吗，看个电视剧哪来那么多话？
957407089,优酷手机用户_ie32m7wu,,lv9,0, , ,iPhone客户端,好烦邱莹莹
957353964,腾讯用户1466237234969895,,lv7,0, , ,iPad客户端,好帅的赵医生
957038451,草莓酱｡◕‿◕｡Lv80,,lv43,0, , ,Android客户端,我一同学简直是邱莹莹原型，之前还干过传销，到现在她对当初传销的保健品疗效还深信不疑，即便那玩意电视台都曝光了
956833750,,,lv7,0, , ,Android客户端,看电视从来不评论的我，终于忍不住了！
956323673,水流98503504,,lv12,0, , ,优酷iku,谁谁谁
956323433,水流98503504,,lv12,0, , ,优酷iku,喜欢一个演员一个任务是每个人的权力，为什么只能你喜欢不能别人讨厌呢。看你们说喜欢睡睡睡的时候那些讨厌的人说什么了吗，凭什么别人一讨厌就要说你凭什么讨厌有本事你去演这种话，。幼稚不幼稚
956277464,〃不想拥有太多情绪ヽ_342324322,,lv19,0, , ,优酷PC客户端,看上这个医生了，，，哈哈哈
956271259,〃不想拥有太多情绪ヽ_342324322,,lv19,0, , ,优酷PC客户端,哈哈哈
956271188,〃不想拥有太多情绪ヽ_342324322,,lv19,0, , ,优酷PC客户端,多好的姐妹了
956227456,奈菲尔塔利50029261,,lv10,0, , ,优酷PC客户端,赵医生好帅
956044817,腾讯用户1469452828961366,,lv4,0, , ,Android客户端,。。
955850484,,,lv5,0, , ,Android客户端,明家三少吧 阿诚算了 缺胡歌是因为他资历多太贵没来么还是在拍戏
955774358,雨诺qwq,,lv8,0, , ,优酷PC客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
955770949,雨诺qwq,,lv8,0, , ,优酷PC客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
955758931,对不起谢谢54329709,,lv6,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
955750802,枔Joan,,lv7,0, , ,优酷PC客户端,对的，可以体现演技，挺好的 
955307882,一个蛋黄酥,,lv26,0,1, ,优酷PC客户端,这种角色最能锻炼演技，对事业有发展！
955138337,迷こつ戀妳の羙,,lv9,0, , ,Android客户端,看着邱莹莹这个角色感觉尴尬症都犯了。
955086573,土豆用户_762548487,,lv12,0, , ,Android客户端,但邱莹莹不是你自己啊!如果你不喜欢这让样的人，那你还看什么电视剧，还交什么朋友。
955082817,威蛋蛋,,lv27,0, , ,iPhone客户端,邱是个没脑子的🐷，现在小孩子都挺有思想的，虽然不成熟但是也没那么少脑子，粘人，怪罪别人，不好好学着有用的，就会哭，没有这样的现代人还那么悲级，很让人反感，有点过了。
955051715,you虾米,,lv36,0, , ,Android客户端,善良不能拯救善良，能可拯救善良的，是能力
955041971,腾讯用户76343551,,lv18,0, , ,iPad客户端,一楼是从神经病院逃出来的
955029800,腾讯用户1469278147860342,,lv2,0, , ,优酷移动播放页,看得感觉邱莹莹好傻
955009125,腾讯用户1468297992215547,,lv7,0, , ,iPhone客户端,邱莹莹真是不是好人心，冲动愚蠢
954905926,优酷用户1468900908369478,,lv6,0, , ,iPad客户端,赵医生师师
954751565,Icecream112445851,,lv23,0, , ,iPhone客户端,讨厌姓曲的，说的自己很厉害，几个英文单词都要问别人，看上一个医生不久，就去调查别人，烦，她身边的人都被她调查过了吧
954736892,优酷用户1467948403513614,,lv4,0, , ,iPad客户端,邱莹莹有病啊
954719534,,,lv43,0, , ,iPhone客户端,我怎么那么各应那个姓邱的女的。烦死她了。跟傻子似的。二五八都听不进去。没脑子。别怪说话难听
954683289,ykapp_xdfii5cg,,lv20,0, , ,Android客户端,邱莹莹这个角色真的让人醉了 从谈恋爱人人都为她好自己不领情又哭哭啼啼回来 丢工作自己说什么也没做错？自己根本就不长脑子！真是那句话不与傻瓜论短长！
954622210,45仰望幸福的天空12362732,,lv11,0, , ,Android客户端,谭宗明和安迪在一起
954616379,晨曦24791492,,lv7,0, , ,Android客户端,不与傻瓜论短长！
954494320,崔志前,,lv34,0,1, ,优酷PC客户端,却是讨厌她
954453084,二毛15434900,,lv6,0, , ,Android客户端,女用的小蓝片是什么东西？
954333334,爱情公寓爱情公寓琦,,lv20,0, , ,优酷iku,邱莹莹就是个老太婆，唠唠叨叨的
954331757,爱情公寓爱情公寓琦,,lv20,0, , ,优酷iku,邱莹莹不识好心，安迪哪有看不起她，这个邱莹莹太讨厌了，明明自己闯下的货， 还要自怪她室友
954041857,优酷手机用户_my4o8spj,,lv14,0,1, ,优酷PC客户端,赞同，不想看她的戏份了
953748283,土豆用户_782900262,,lv3,0, , ,优酷PC客户端,是的是的
953748116,土豆用户_782900262,,lv3,0, , ,优酷PC客户端,已转发评论
953745329,土豆用户_782900262,,lv3,0, , ,优酷PC客户端,好傻 邱莹莹
953741288,姗姗60426267,,lv3,0, , ,iPhone客户端,还是喜欢关关，邱莹莹还是自私
953626706,shan-shu54906550,,lv19,0, , ,Android客户端,小美块头真大
953612042,shan-shu54906550,,lv19,0, , ,Android客户端,先不说莹莹后来变好，就她现在这个样子，唯一的优点就是没脑，偶尔挺可爱的，可她的缺点太多了，简直让人无法忍受
953611357,shan-shu54906550,,lv19,0, , ,Android客户端,疯狗一个，逮谁咬谁
953611231,shan-shu54906550,,lv19,0, , ,Android客户端,近小人远君子，谁为她好她跟谁翻脸。呵呵
953610708,shan-shu54906550,,lv19,0, , ,Android客户端,就因为为了她好告诉她那些书不太好，就逮住人不放的啰嗦，一直啰嗦，天呐
953610425,shan-shu54906550,,lv19,0, , ,Android客户端,现实中邱莹莹这种有谁会理她，安迪完全可以不理她，至于你看什么书，有没有工作都和别人无关，人家过的很好，为什么要告诉你这些书不是好书，以后谁还敢为了她好？
953609987,shan-shu54906550,,lv19,0, , ,Android客户端,呵呵，邱莹莹跟安迪介绍这些书，说如果你喜欢的话我可以介绍给你，这邱莹莹的角色还真是蠢得不下一般啊，她看不出安迪很成功很优秀很有脑吗？像安迪那种层次的需要讽刺她吗？相处这么久，不知道安迪的人品吗？而且她觉得安迪需要看这些书吗？
953289069,微信用户1469172666010640,,lv7,0, , ,Android客户端,好看
953247130,腾讯用户1467867913836441,,lv4,0, , ,iPad客户端,呵呵呵呵呵，傻啊
953245230,lypboy2015,,lv36,0, , ,优酷PC客户端,姓邱的就是个痴线儿童，真恶心。
953179526,,,lv5,0, , ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
952986844,橘子58618568,,lv8,0, , ,Android客户端,看前十集，觉得邱莹莹有被害妄想症吧，有病吧，一天到晚的就知道喊啊、跳啊，本身条件不佳还满身公主病。晕死😖有事没事就冲上去发疯。很不喜欢这种不现实的小女生。现实点吧。
952906242,微信用户1466378540860171,,lv6,0, , ,iPhone客户端,打从心底不喜欢邱莹莹 大学都出来一年多了 是不是该成熟点了？
952734166,腾讯用户1469010623398111,,lv1,0, , ,优酷,我莫名奇妙的笑了，因为我梦见了sissone.
952695058,微信用户1466152398663210,,lv5,0, , ,Android客户端,邱瑩瑩就一傻白，不懂事的一個
952663144,Kang73408560,,lv5,0, , ,优酷,我真的很讨厌邱莹莹 不光人蠢 演技还差
952501560,腾讯用户1468210754991429,,lv7,0, , ,iPad客户端,邱莹莹简直就是个白痴，别人好心劝他，反而狗咬吕洞宾
952285066,,,lv44,0, , ,优酷iku,这他吗医生坐诊还开刀 作者是没进过医院啊
952258357,Clsavely,,lv1,0, , ,iPhone客户端,脑子是个好东西……希望人人都有 
952231801,黄宗泽Bosco--,,lv24,0, , ,iPad客户端,邱莹莹她真的有病吧
952028224,,,lv33,0, , ,优酷PC客户端,一般人都不愿意面对自己的不堪，不愿承认自己的不足，以外界的理由来欺骗自己，一旦别人踩到自己的痛处，就会把所有的不对指向别人
951965734,WuZhangZhe,,lv20,0, , ,优酷PC客户端,或者该说是安多芬？
951965331,WuZhangZhe,,lv20,0, , ,优酷PC客户端,我在第10集看到了荷尔蒙。
951956102,WuZhangZhe,,lv20,0, , ,优酷PC客户端,樊胜美好犀利，真的，不亏多年资深HR。
951955205,WuZhangZhe,,lv20,0, , ,优酷PC客户端,安迪都没必要看得起蚯蚓，因为根本没必要看。
951954171,WuZhangZhe,,lv20,0, , ,优酷PC客户端,安迪错就错在，用自己的智商来和蚯蚓沟通了，怎么可能成功啊。
951953010,WuZhangZhe,,lv20,0, , ,优酷PC客户端,安迪自己其实有问题，她太直接了。事实上，面子上，蚯蚓都过不去。
951888339,腾讯用户1468979710975315,,lv1,0, , ,iPad客户端,我觉得赵医生后面是喜欢曲筱绡的，不赞成有人说的会喜欢关关
951887557,,,lv1,0, , ,Android客户端,不错，
951808804,비리빠빠,,lv11,0, , ,iPhone客户端,小蚯蚓不像20岁 像12岁一样
951725044,沫沫94062874,,lv4,0, , ,Android客户端,谁的青春不迷茫
951473814,,,lv51,0, , ,优酷,请喝了这碗鸡汤
951460399,优酷手机用户_tFFEy3Es,,lv10,0, , ,iPhone客户端,终于知道为什么你们讨厌莹莹了
951445205,嫣然女孩,,lv5,0, , ,Android客户端,“爱迪生说美德仅次于金钱💰”这我三年级都知道，德智体美劳，的在最前面😡
951442517,嫣然女孩,,lv5,0, , ,Android客户端,超讨厌邱莹莹，弄得我都不喜欢
951367570,乄玩挵噯情乄,,lv19,0, , ,优酷PC客户端,非常对的
951338874,土豆用户_410186923,,lv13,0, , ,优酷PC客户端,凯凯终于出来了！
951333502,土豆用户_410186923,,lv13,0, , ,优酷PC客户端,邱莹莹就像个疯子一样
951105200,zhoubairu,,lv25,0, , ,优酷PC客户端,说的很对
950894634,,,lv12,0, , ,Android客户端,邱莹莹这种没脑子的看着就头痛，真是想揍人了都
950891673,优酷用户1468656385602986,,lv7,0, , ,Android客户端,我看着看着就认为他不是天真了 他是傻缺啊！
950843991,腾讯用户1468799526736299,,lv1,0, , ,Android客户端,对对对
950701609,,,lv41,0, , ,iPad客户端,第10集安迪开车那段钢琴曲是什么名字
950631742,土豆用户_767715992,,lv7,0, , ,优酷,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODc2Mjg=.html"" target=""_blank"">王子文"
950546137,腾讯用户1468739951686443,,lv1,0, , ,优酷PC客户端,邱莹莹太贱了，讨厌邱莹莹。
950478290,宝宝的大苹果,,lv9,0, , ,优酷,喜欢曲筱筱，有自信有头脑，看着像个小太妹的感觉，但是做起事来一本正经，欣赏她！
950473364,宝宝的大苹果,,lv9,1, , ,优酷,邱莹莹无理取闹，安迪好心劝她，她还冲安迪嚷嚷，当初别人都说那个白主管不是好人，结果呢，她自己陷进去拔不出来！现在跟安迪闹上了！神经病！真心瞧不起邱莹莹，自己的问题从来没正式过，只会自欺欺人！
950426915,腾讯用户1468419540288858,,lv6,0, , ,Android客户端,邱莹莹就是个人渣，不要脸
950352302,患有思你可好丶,,lv15,0, , ,优酷PC客户端,邱莹莹这角色就是找骂的
950189530,,,lv25,0, , ,优酷PC客户端,尼玛 实在看不下去了 这个邱莹莹实在让我看不下去了
950177091,给我一个理由忘记71018910,,lv4,0, , ,优酷PC客户端,对啊 他演的蛮好的 我蛮喜欢这个角色
950160151,,,lv34,0, , ,优酷PC客户端,真烦人
950138960,,,lv10,0, , ,iPad客户端,好喜欢
950098028,,,lv54,0, , ,Android Pad客户端,邱莹莹这种人真的很讨厌，自己蠢的就算了，别人对你真情你当假意，一有事就麻烦别人，脑子有坑吧
949981466,,,lv8,0, , ,Android客户端,讨厌莹莹
949929968,,,lv10,0, , ,Android客户端,7场
949904351,山林76687482,,lv10,0, , ,Android客户端,邱莹莹这个角色放到现实中也太不理智了，有时候真觉得是不是都没脑子做事的，好朋友的规劝确固执地以为是讽刺，谈恋爱谈得鬼迷心窍的，这种人怎么可能在大城市里活下来？
949754444,花落微凉梦清幽丶37849165,,lv3,0, , ,优酷PC客户端,邱莹莹好讨厌，不听好人劝。看不惯 好讨厌 话痨 
949752915,Elaine27648154,,lv35,0, , ,iPhone客户端,喜欢邱莹莹赞
949729291,,,lv29,0, , ,优酷PC客户端,人长太帅才是关键啊~~~~~~啊~~~~
949711788,腾讯用户1468587138511369,,lv2,0, , ,iPad客户端,邱莹莹什么学校毕业的简直就是傻子一样。真受不了
949709665,,,lv8,0, , ,iPad客户端,像邱莹莹这种人就是觉得全世界都对她不好，看不起他。
949699030,,,lv17,0, , ,Android客户端,就这B样 谁TM看的起她
949661815,,,lv12,0, , ,iPhone客户端,不与傻瓜论短长 真的很对
949602493,优酷用户146314318583367,,lv12,0, , ,iPad客户端,呃
949593271,李强来了哈哈,,lv19,0, , ,iPad客户端,简简单单不顾回复哦不要让给别人？你就不能自拔、这样才来找我吧！我想对你有所期待，
949585614,好烫的凉茶,,lv16,0,1, ,iPad客户端,已转发评论
949530101,彤彤77368526,,lv17,0, , ,iPad客户端,我觉得蚯蚓有些颠，不愧是小县城出来我们上海混的
949508860,,,lv48,0, , ,优酷,靖王
949492752,鬼鬼爱绘琉,,lv10,0, , ,Android客户端,好喜欢谭总
949492159,鬼鬼爱绘琉,,lv10,0, , ,Android客户端,邱莹莹 
949459674,月之痕谁知晓22319835,,lv22,0, , ,优酷PC客户端,曲筱绡挺有趣的
949457666,玖梦83429248,,lv16,0, , ,Android客户端,好讨厌邱莹莹
949397018,苏世达,,lv27,0, , ,iPhone客户端,邱莹莹好吃，又爱哭
949368454,MAX薇儿,,lv23,0, , ,优酷,第十集终于出现一个像样的男主角了=-=
949328418,,,lv12,0, , ,Android客户端,就是喜欢樊胜美
949326537,锅郭锅郭,,lv15,0, , ,优酷PC客户端,所以他没骂
949121260,预料之外34615342,,lv6,0, , ,优酷PC客户端,邱莹莹就是个zz
949109319,秦沐雪,,lv7,0, , ,优酷PC客户端,"<a title=""点击从此时间点开始播放"" alt=""点击从此时间点开始播放"" href=""javascript:PlayerSeekMin('17','22');window.scroll(0,0)"">17分22秒"
949049196,、Aletta,,lv20,0, , ,优酷PC客户端,邱莹莹的父母是好 但是明明她是想回家的 而且她这样的女孩感觉更适合在小城市里 为什么不让她回去试试?
948878516,林笠风,,lv21,0, , ,优酷PC客户端,不与傻瓜论短长，说得好
948784128,别脆弱别示弱别懦弱别软92198464,,lv6,0, , ,优酷PC客户端,哪个
948779423,别脆弱别示弱别懦弱别软92198464,,lv6,1, , ,优酷PC客户端,能告诉我
948775685,别脆弱别示弱别懦弱别软92198464,,lv6,0, , ,优酷PC客户端,谁是
948757363,腾讯用户1468407542282373,,lv2,0, , ,优酷PC客户端,讨厌邱莹莹
948718557,柯宇轩00313792,,lv11,0, , ,优酷PC客户端,已转发评论
948717884,canny626262,,lv17,0, , ,优酷PC客户端,邱莹莹这种下场就是活该
948640255,腾讯用户1468389397189586,,lv2,0, , ,iPhone客户端,好讨厌小蚯蚓，喜欢筱绡和关关
948616702,鬼鬼爱绘琉,,lv10,0, , ,Android客户端,我也觉得有些人对她的评价太极端了 邱莹莹确实太不成熟 不懂人情世故 但她对亲情友情的重视还是值得赞赏的
948614229,土豆用户_718195800,,lv10,0, , ,iPad客户端,嘿嘿
948384220,_105824313,,lv5,0, , ,iPhone客户端,因为你成不了这样的人 所以你也就只能这样了
948383634,_105824313,,lv5,0, , ,iPhone客户端,羡慕你什么？只知道躲在网络后去评判人家！可笑！有能耐导演怎么不选你！
948382778,_105824313,,lv5,0, , ,iPhone客户端,说出这种的话的人很少 我支持你 
